Day,Box,hg,Conc,,,
42,16,199,0.14006,,,
42,16,199,0.21100,,,
42,16,199,0.16863,,,
42,16,199,0.24689,,,
42,16,199,0.22202,,,
42,16,199,0.24231,,,
42,16,200,0.23302,,,
42,16,200,0.23198,,,
42,16,200,0.23334,,,
42,16,200,0.24971,,,
42,16,200,0.23703,,,
42,16,200,0.22536,,,
42,16,201,0.29058,,,
42,16,201,0.26875,,,
42,16,201,0.28123,,,
42,16,201,0.23397,,,
42,16,201,0.25633,,,
42,16,201,0.25297,,,
42,16,202,0.33635,,,
42,16,202,0.28828,,,
42,16,202,0.31680,,,
42,16,202,0.26943,,,
42,16,202,0.28462,,,
42,16,202,0.27936,,,
42,17,199,0.14283,,,
42,17,199,0.16395,,,
42,17,199,0.17250,,,
42,17,199,0.12212,,,
42,17,199,0.22064,,,
42,17,199,0.19243,,,
42,17,200,0.25736,,,
42,17,200,0.20359,,,
42,17,200,0.21940,,,
42,17,200,0.23899,,,
42,17,200,0.23791,,,
42,17,200,0.22981,,,
42,17,201,0.27972,,,
42,17,201,0.28864,,,
42,17,201,0.28392,,,
42,17,201,0.29351,,,
42,17,201,0.26653,,,
42,17,201,0.27644,,,
42,17,202,0.32009,,,
42,17,202,0.34381,,,
42,17,202,0.32417,,,
42,17,202,0.34539,,,
42,17,202,0.27492,,,
42,17,202,0.30131,,,
42,18,199,0.21801,,,
42,18,199,0.14908,,,
42,18,199,0.18741,,,
42,18,199,0.19944,,,
42,18,199,0.21362,,,
42,18,199,0.14814,,,
42,18,200,0.23416,,,
42,18,200,0.22396,,,
42,18,200,0.23169,,,
42,18,200,0.23320,,,
42,18,200,0.25145,,,
42,18,200,0.22909,,,
42,18,201,0.25307,,,
42,18,201,0.27821,,,
42,18,201,0.26617,,,
42,18,201,0.26642,,,
42,18,201,0.24566,,,
42,18,201,0.26696,,,
42,18,202,0.29476,,,
42,18,202,0.34876,,,
42,18,202,0.31473,,,
42,18,202,0.30094,,,
42,18,202,0.28926,,,
42,18,202,0.35581,,,
90,16,199,0.19011,,,
90,16,199,0.20942,,,
90,16,199,0.25450,,,
90,16,199,0.20868,,,
90,16,199,0.16453,,,
90,16,199,0.20640,,,
90,16,200,0.24469,,,
90,16,200,0.24990,,,
90,16,200,0.22432,,,
90,16,200,0.24266,,,
90,16,200,0.24447,,,
90,16,200,0.23874,,,
90,16,201,0.26897,,,
90,16,201,0.25351,,,
90,16,201,0.27596,,,
90,16,201,0.25097,,,
90,16,201,0.26814,,,
90,16,201,0.25700,,,
90,16,202,0.29623,,,
90,16,202,0.28716,,,
90,16,202,0.24522,,,
90,16,202,0.29769,,,
90,16,202,0.32286,,,
90,16,202,0.29786,,,
90,17,199,0.22313,,,
90,17,199,0.20004,,,
90,17,199,0.18880,,,
90,17,199,0.19931,,,
90,17,199,0.21528,,,
90,17,199,0.15486,,,
90,17,200,0.24385,,,
90,17,200,0.24662,,,
90,17,200,0.24680,,,
90,17,200,0.24190,,,
90,17,200,0.24498,,,
90,17,200,0.23558,,,
90,17,201,0.24612,,,
90,17,201,0.25076,,,
90,17,201,0.24508,,,
90,17,201,0.25138,,,
90,17,201,0.25228,,,
90,17,201,0.27610,,,
90,17,202,0.28691,,,
90,17,202,0.30258,,,
90,17,202,0.31932,,,
90,17,202,0.30742,,,
90,17,202,0.28747,,,
90,17,202,0.33346,,,
90,18,199,0.21052,,,
90,18,199,0.20678,,,
90,18,199,0.21411,,,
90,18,199,0.22302,,,
90,18,199,0.22934,,,
90,18,200,0.25042,,,
90,18,200,0.24468,,,
90,18,200,0.24205,,,
90,18,200,0.24328,,,
90,18,200,0.24150,,,
90,18,201,0.25669,,,
90,18,201,0.26022,,,
90,18,201,0.26481,,,
90,18,201,0.26098,,,
90,18,201,0.25390,,,
90,18,202,0.28237,,,
90,18,202,0.28833,,,
90,18,202,0.27903,,,
90,18,202,0.27272,,,
90,18,202,0.27526,,,
360,16,199,0.21861,,,
360,16,199,0.15930,,,
360,16,199,0.31538,,,
360,16,199,0.24343,,,
360,16,199,0.20017,,,
360,16,199,0.23471,,,
360,16,200,0.23563,,,
360,16,200,0.25484,,,
360,16,200,0.24172,,,
360,16,200,0.22259,,,
360,16,200,0.23505,,,
360,16,200,0.22333,,,
360,16,201,0.27107,,,
360,16,201,0.21662,,,
360,16,201,0.25042,,,
360,16,201,0.25165,,,
360,16,201,0.28784,,,
360,16,201,0.26793,,,
360,16,202,0.27469,,,
360,16,202,0.36924,,,
360,16,202,0.19249,,,
360,16,202,0.28234,,,
360,16,202,0.27694,,,
360,16,202,0.27402,,,
360,17,199,0.16152,,,
360,17,199,0.18508,,,
360,17,199,0.30127,,,
360,17,199,0.24672,,,
360,17,199,0.20921,,,
360,17,199,0.31388,,,
360,17,200,0.23075,,,
360,17,200,0.23186,,,
360,17,200,0.21995,,,
360,17,200,0.23807,,,
360,17,200,0.24085,,,
360,17,200,0.18084,,,
360,17,201,0.27683,,,
360,17,201,0.27016,,,
360,17,201,0.19653,,,
360,17,201,0.25102,,,
360,17,201,0.26586,,,
360,17,201,0.25239,,,
360,17,202,0.33090,,,
360,17,202,0.31290,,,
360,17,202,0.28225,,,
360,17,202,0.26419,,,
360,17,202,0.28407,,,
360,17,202,0.25288,,,
360,18,199,0.22702,,,
360,18,199,0.26840,,,
360,18,199,0.23803,,,
360,18,199,0.27600,,,
360,18,199,0.26498,,,
360,18,199,0.23941,,,
360,18,200,0.24536,,,
360,18,200,0.23978,,,
360,18,200,0.23849,,,
360,18,200,0.24558,,,
360,18,200,0.23846,,,
360,18,200,0.24815,,,
360,18,201,0.25598,,,
360,18,201,0.26327,,,
360,18,201,0.25569,,,
360,18,201,0.22877,,,
360,18,201,0.23737,,,
360,18,201,0.25767,,,
360,18,202,0.27164,,,
360,18,202,0.22856,,,
360,18,202,0.26779,,,
360,18,202,0.24965,,,
360,18,202,0.25919,,,
360,18,202,0.25476,,,